serial_number,range,section,subdivision,township
NDM102994,,,,
NDM095387,104,32,"N2NE,SWNE,SENW",150
NDM095387,104,32,"E2SW,W2SE",150
NDM095387,,,,
NDM095386,104,28,SESW,150
NDM095386,,,,
NDM095385,104,28,"E2,NENW,S2NW,N2SW,SWSW",150
NDM095385,,,,
NDM095384,104,27,ALL,150
NDM095384,,,,
NDM095383,104,26,ALL,150
NDM095383,,,,
NDM095382,104,21,12,150
NDM095382,,,,
NDM095381,104,21,"NENE,S2NE",150
NDM095381,104,21,11,150
NDM095381,104,22,"N2NE,SWNE,NW,N2S2",150
NDM095381,104,22,"1,2,7,8",150
NDM095381,104,23,"NW,NWSW",150
NDM095381,104,23,"3,4,5,6",150
NDM095381,,,,
NDM095380,101,1,"NESW,SWSW,NWSE",153
NDM095380,101,1,5,153
NDM095380,,,,
NDM095389,104,33,"NENE,NENW,SWNW,SW",150
NDM095389,,,,
NDM095388,104,32,"SENE,E2SE",150
NDM095388,,,,
NDM102209,103,6,11,152
NDM102209,103,30,POR LOT 5 NOT ERODED,152
NDM102209,103,30,BY MO RVR (19.19 AC),152
NDM102209,,,,
NDM102208,103,6,SE,144
NDM102208,103,6,"1,2,7-11",144
NDM102208,103,8,"NWNE,NW,N2SW,SWSW",144
NDM102208,103,18,"NE,NESE,S2SE",144
NDM102208,103,18,"1,2",144
NDM102208,,,,
NDM097709,86,31,NE,157
NDM097709,,,,
NDM0063056,101,22,"W2NE,SENE,NW",145
NDM0063056,101,32,"N2,SE",145
NDM0063056,,,,
NDM102203,102,13,"NWNE,E2NW,N2SW,SWSW",155
NDM102203,,,,
NDM102202,102,12,"SESW,SWSE",155
NDM102202,,,,
NDM102205,102,6,S2NE,156
NDM102205,102,6,"1,2",156
NDM102205,102,7,SESE,156
NDM102205,102,18,"E2NE,NESE",156
NDM102205,102,26,E2NE,156
NDM102205,,,,
NDM102204,102,1,S2NW,156
NDM102204,102,1,"3,4",156
NDM102204,102,2,"1,2,3",156
NDM102204,,,,
NDM087276,101,3,"S2NW,SW,W2SE",143
NDM087276,101,3,"3,4",143
NDM087276,101,10,"W2NE,E2NW,SW",143
NDM087276,,,,
NDM102206,102,23,"S2NE,S2SW,SE",156
NDM102206,,,,
NDM093979,103,4,8-Jan,144
NDM093979,103,14,S2,144
NDM093979,103,26,NWNE,144
NDM093979,,,,
NDM039532,102,13,ALL,143
NDM039532,,,,
NDM031843,102,10,SE,144
NDM031843,102,11,"NE,NENW,S2NW,S2",144
NDM031843,102,12,S2,144
NDM031843,102,13,E2,144
NDM031843,102,25,"N2N2,SWSW",144
NDM031843,,,,
NDBIS0023117B,107,22,E2SE,131
NDBIS0023117B,107,22,4-Jan,131
NDBIS0023117B,107,26,S2,131
NDBIS0023117B,107,27,E2E2,131
NDBIS0023117B,107,27,4-Jan,131
NDBIS0023117B,107,35,"N2NW,SENW,E2SW,E2",131
NDBIS0023117B,,,,
NDBIS0023117A,107,34,E2E2,131
NDBIS0023117A,107,34,4-Jan,131
NDBIS0023117A,107,35,"SWNW,W2SW",131
NDBIS0023117A,,,,
NDM101178,105,21,BED LTL MO RIV RIPAR,135
NDM101178,105,21,"TO LOTS 1,2,3,4",135
NDM101178,105,21,DESC BY M&B,135
NDM101178,,,,
NDM095805,99,5,"NESW,N2SE,SESE",160
NDM095805,99,18,NE,160
NDM095805,99,24,SW,160
NDM095805,99,29,SW,160
NDM095805,,,,
NDM101176,105,1,"8,9",135
NDM101176,,,,
NDM101177,105,20,"E2NW,SWSW,SESE",135
NDM101177,,,,
NDM101174,104,20,NENW,136
NDM101174,104,20,"3,4",136
NDM101174,,,,
NDM101175,104,32,"E2NE,S2S2,NESE",136
NDM101175,,,,
NDM101172,104,2,SE,136
NDM101172,104,11,ALL,136
NDM101172,104,14,"NWNE,S2NE,E2W2",136
NDM101172,104,14,NENE EXCL 2.00 AC TRACT,136
NDM101172,104,15,"E2,E2W2,SWSW",136
NDM101172,104,15,"1,2,3,4",136
NDM101172,,,,
NDM101173,104,17,"N2N2,SWNW,W2SW,SESE",136
NDM101173,104,17,8-Jan,136
NDM101173,104,20,"SWNE,SESE",136
NDM101173,104,20,"1,2,5,6,7,11",136
NDM101173,,,,
NDM101170,103,30,SE,133
NDM101170,103,31,E2W2,133
NDM101170,103,31,"1,2,3,4",133
NDM101170,,,,
NDM101171,103,34,NE,133
NDM101171,,,,
NDM100225,92,2,"S2NE,SE",151
NDM100225,92,2,"1,2",151
NDM100225,92,3,E2SW,151
NDM100225,,,,
NDM075426,101,7,NESW,144
NDM075426,101,10,"NW,N2SW,W2SE",144
NDM075426,101,12,SESE,144
NDM075426,101,22,NESE,144
NDM075426,101,34,"N2NE,NESW",144
NDM075426,,,,
NDM094476,102,24,"S2NE,NW",145
NDM094476,102,34,N2,145
NDM094476,,,,
NDM094477,102,25,"S2N2,S2",145
NDM094477,102,25,"1,2,3,4,5",145
NDM094477,,,,
NDM094474,102,22,"N2NE,SENE,NWSW,S2SW",145
NDM094474,102,22,SESE,145
NDM094474,102,28,ALL,145
NDM094474,102,34,3,145
NDM094474,,,,
NDM094472,101,14,ALL,143
NDM094472,101,15,"E2,SW",143
NDM094472,101,22,SW,143
NDM094472,,,,
NDM094473,102,18,E2,145
NDM094473,102,20,"S2NE,SENW,NESE",145
NDM094473,102,22,NESW,145
NDM094473,,,,
NDM094470,101,4,"SWNW,SW",143
NDM094470,101,4,4,143
NDM094470,,,,
NDM094471,101,13,ALL,143
NDM094471,101,23,NE,143
NDM094471,101,24,ALL,143
NDM094471,,,,
NDM094478,104,1,"S2N2,S2",146
NDM094478,104,1,"1,2,3,4",146
NDM094478,104,2,"1,2,3,4",146
NDM094478,104,3,"S2N2,S2",146
NDM094478,104,3,"1,2,3,4",146
NDM094478,104,12,ALL,146
NDM094478,,,,
NDM094479,104,6,"SENW,E2SW,S2SE",146
NDM094479,104,6,"1,2,3",146
NDM094479,104,8,S2,146
NDM094479,,,,
NDM087690,96,3,"1,2",148
NDM087690,96,4,"S2NW,N2SW",148
NDM087690,96,4,"3,4",148
NDM087690,96,9,"S2NE,SWNW,N2SE,SESE",148
NDM087690,96,11,N2SW,148
NDM087690,,,,
NDM099290,106,14,N2,135
NDM099290,,,,
NDM044004,100,17,SE,142
NDM044004,100,29,N2,142
NDM044004,,,,
NDM068847,101,34,E2,145
NDM068847,,,,
NDM018948,97,18,NENW,147
NDM018948,97,28,1,148
NDM018948,97,30,"SESW,SWSE",148
NDM018948,97,30,"3,4",148
NDM018948,97,31,"NE,E2NW,NESW,N2SE",148
NDM018948,97,31,7-Jan,148
NDM018948,97,32,"W2NE,NW,N2SW",148
NDM018948,97,32,3-Jan,148
NDM018948,97,33,NESE,148
NDM018948,97,33,"1,3-6,8-11",148
NDM018948,,,,
NDM094713,103,8,ALL,145
NDM094713,,,,
NDM094712,103,6,NESW,145
NDM094712,103,10,E2W2,145
NDM094712,103,14,NW,145
NDM094712,,,,
NDM094711,103,6,SENE,145
NDM094711,103,6,"1,3,4",145
NDM094711,103,22,"W2NW,SW,W2SE",145
NDM094711,,,,
NDM094710,103,2,"SENW,E2SE",145
NDM094710,103,2,3,145
NDM094710,103,4,"S2NW,SE",145
NDM094710,103,4,"3,4",145
NDM094710,,,,
NDM094717,104,14,SESE,151
NDM094717,104,23,E2E2,151
NDM094717,104,23,"1,4,5,8",151
NDM094717,104,24,SWNW,151
NDM094717,,,,
NDM094716,104,2,8,151
NDM094716,104,3,N2SW,151
NDM094716,104,4,N2SE,151
NDM094716,104,4,"6,7,8",151
NDM094716,,,,
NDM094715,103,10,"E2E2,W2W2",145
NDM094715,103,12,ALL,145
NDM094715,103,14,S2,145
NDM094715,103,22,E2E2,145
NDM094715,103,28,N2,145
NDM094715,103,34,SW,145
NDM094715,,,,
NDM094714,103,28,S2,145
NDM094714,103,30,4,145
NDM094714,103,34,"N2,SE",145
NDM094714,,,,
NDM097554,95,34,"W2NW,NESE,S2SE",151
NDM097554,95,35,"E2,W2SW",151
NDM097554,,,,
NDM082804,102,8,S2,142
NDM082804,,,,
NDM066424,105,25,"S2NW,SW,S2SE",131
NDM066424,105,30,1,131
NDM066424,,,,
NDM098716,92,27,NE,152
NDM098716,,,,
NDM098715,91,9,SW,151
NDM098715,,,,
NDM0042257,103,11,ALL,139
NDM0042257,103,13,ALL,139
NDM0042257,103,14,ALL,139
NDM0042257,103,15,ALL,139
NDM0042257,,,,
NDM066541,101,24,SWNW,145
NDM066541,,,,
NDM102190,100,4,"15,16",152
NDM102190,,,,
NDM098576,104,34,"W2W2,NESW",144
NDM098576,,,,
NDM098575,104,6,7,143
NDM098575,104,8,"SENE,SWNW,W2SW",143
NDM098575,104,30,"E2E2,E2SW",143
NDM098575,104,30,"3,4",143
NDM098575,,,,
NDM102194,100,32,"2,4",153
NDM102194,100,34,SWNW,153
NDM102194,100,34,3,153
NDM102194,,,,
NDM033797,97,1,"SWNW,W2SW",149
NDM033797,97,1,4,149
NDM033797,97,2,SENW,149
NDM033797,97,11,NENE,149
NDM033797,97,12,NWNW,149
NDM033797,,,,
NDM103148,104,5,"SESW,SWSE",151
NDM103148,104,5,8,151
NDM103148,,,,
NDM102207,102,11,"SESW,SWSE",157
NDM102207,102,14,"W2NE,W2",157
NDM102207,102,27,W2SW,157
NDM102207,102,28,S2SE,157
NDM102207,102,32,S2N2,157
NDM102207,102,34,SE,157
NDM102207,,,,
NDM055020,101,7,E2,138
NDM055020,101,18,"NE,NESE",138
NDM055020,,,,
NDM090164,104,30,E2SE,148
NDM090164,,,,
NDM0072981,79,7,"S2NE,N2SE",163
NDM0072981,,,,
NDM102148,91,13,SENW,157
NDM102148,,,,
NDM102149,92,9,BED OF LAKE RIPAR TO,157
NDM102149,92,9,"LOTS 1,2 LYING W/IN THE",157
NDM102149,92,9,LINEAR CONFINES OF,157
NDM102149,92,9,"SEC 16,17",157
NDM102149,,,,
NDM102146,91,2,"POR OF LOTS 1,2,3 ACQ",157
NDM102146,91,2,BY FWS,157
NDM102146,,,,
NDM102147,91,8,SW,157
NDM102147,,,,
NDM102144,90,11,SENE,158
NDM102144,,,,
NDM102145,91,7,NWSE,155
NDM102145,,,,
NDM102142,90,4,"N2S2,SESW",158
NDM102142,90,4,SWSW EXCL 21.00 AC DESC,158
NDM102142,90,4,BY M&B JURIS FWS,158
NDM102142,90,4,S2SE EXCL 34.50 AC DESC,158
NDM102142,90,4,BY M&B JURIS FWS,158
NDM102142,,,,
NDM102143,90,9,NE EXCL 92.00 AC DESC BY,158
NDM102143,90,9,M&B JURIS FWS,158
NDM102143,,,,
NDM102140,90,3,NESE,157
NDM102140,,,,
NDM102141,90,2,S2NW,158
NDM102141,90,2,"3,4",158
NDM102141,90,3,S2NE,158
NDM102141,90,3,"1,2",158
NDM102141,,,,
NDM094280,105,27,"1,2,3,4",148
NDM094280,,,,
NDM098798,105,18,SESE,143
NDM098798,105,20,E2NE,143
NDM098798,105,22,W2,143
NDM098798,105,28,SW,143
NDM098798,,,,
NDM098796,104,6,"3,4,5",151
NDM098796,104,7,"1,2,3",151
NDM098796,104,8,"NWNE,E2NW,W2SE",151
NDM098796,104,18,"5,6,7,8",151
NDM098796,,,,
NDM098774,94,36,"NW,S2S2SE",154
NDM098774,,,,
NDM091707,100,10,SW,144
NDM091707,100,22,"S2NE,NW",144
NDM091707,,,,
NDM091706,101,26,"SWNW,W2SW,SESE",144
NDM091706,,,,
NDM091705,101,26,E2,143
NDM091705,,,,
NDM091704,100,4,SENE,144
NDM091704,100,28,"NENE,W2W2,NESW",144
NDM091704,,,,
NDM086000,101,34,"NW,S2",139
NDM086000,,,,
NDM093184,103,12,N2,143
NDM093184,,,,
NDM086005,103,32,"NWNW,S2NW,N2SW",139
NDM086005,,,,
NDM086006,104,7,SENE,133
NDM086006,,,,
NDBLMA0025902A,101,14,NW EXCL 19.07 AC IN RR,139
NDBLMA0025902A,101,14,ROW 140.93A,139
NDBLMA0025902A,,,,
NDM083511,102,7,SESW,150
NDM083511,102,7,4,150
NDM083511,102,18,"NWNE,S2NE",150
NDM083511,,,,
NDM083510,102,7,"E2,NENW",150
NDM083510,102,7,1,150
NDM083510,102,8,"NE,S2NW,N2NESW,SWSW",150
NDM083510,102,8,"S2S2SESW,W2SE",150
NDM083510,102,17,"N2,SW,W2SE",150
NDM083510,102,18,NENE,150
NDM083510,,,,
NDM083513,102,28,"S2NW,N2SW",150
NDM083513,102,29,"NE,E2NW,S2",150
NDM083513,102,30,"W2NE,SESW,SE",150
NDM083513,102,30,4,150
NDM083513,,,,
NDM083512,102,20,"W2NE,NW,N2SE",150
NDM083512,102,20,"1,2,7,8",150
NDM083512,102,21,"NW,N2SW",150
NDM083512,,,,
NDM015753,100,29,NW,141
NDM015753,100,32,NWSW,141
NDM015753,100,33,NW,141
NDM015753,,,,
NDM083519,105,18,SWNE,131
NDM083519,,,,
NDM102968,101,31,SENW,162
NDM102968,101,31,4-Feb,162
NDM102968,,,,
NDM102969,101,29,NE,163
NDM102969,,,,
NDM102964,100,32,NESW,153
NDM102964,100,32,NESW,153
NDM102964,,,,
NDM102965,100,12,NW,163
NDM102965,,,,
NDM102967,101,12,"NW,SE",162
NDM102967,,,,
NDM102960,99,8,NWNW,152
NDM102960,,,,
NDM102961,99,14,SE,155
NDM102961,,,,
NDM102962,100,11,"E2SW,W2SE",153
NDM102962,100,14,N2NW,153
NDM102962,100,15,N2NE,153
NDM102962,,,,
NDM102963,100,30,NWSE,153
NDM102963,100,30,NWSE,153
NDM102963,,,,
NDM090946,100,1,S2,136
NDM090946,100,1,12-Jan,136
NDM090946,100,2,"1,2,3,4",136
NDM090946,,,,
NDM090948,100,31,"E2SW,SE",138
NDM090948,100,31,"3,4",138
NDM090948,100,32,"E2NE,W2NW,SW",138
NDM090948,100,33,"N2,SW",138
NDM090948,,,,
NDM0030864,101,1,"SE,W2  77.30 AC",139
NDM0030864,101,1,"SE,W2  77.30 AC",139
NDM0030864,101,2,"E2,SW  34.55 AC",139
NDM0030864,101,9,E2  45.33 AC,139
NDM0030864,101,10,SW  9.96 AC,139
NDM0030864,101,11,"NE,W2  51.10 AC",139
NDM0030864,101,14,NW  19.07 AC,139
NDM0030864,101,15,N2  44.18 AC,139
NDM0030864,,,,
NDM099126,101,8,SWSW,143
NDM099126,101,20,NWNW,143
NDM099126,,,,
NDM094087,100,10,S2S2,143
NDM094087,100,15,ALL,143
NDM094087,100,22,N2,143
NDM094087,,,,
NDM095390,104,33,"S2NE,NWNW,SENW,SE",150
NDM095390,,,,
NDM095391,104,34,ALL,150
NDM095391,,,,
NDM095392,104,35,"E2,N2NW,SENW,SWSW",150
NDM095392,,,,
NDM095393,104,10,NENE,151
NDM095393,,,,
NDM014393,100,22,N2NE,144
NDM014393,100,24,"W2E2,W2",144
NDM014393,100,26,"W2,NESE",144
NDM014393,100,28,"W2NE,SENE,E2NW,SESW,SE",144
NDM014393,100,30,"E2,E2W2",144
NDM014393,100,30,"1,2,3,4",144
NDM014393,100,31,E2W2,144
NDM014393,100,31,"1,2,3,4",144
NDM014393,,,,
NDM095395,107,15,E2E2,131
NDM095395,107,15,"1,2",131
NDM095395,107,23,"N2,E2SW,SE",131
NDM095395,107,26,"N2NE,SENE",131
NDM095395,,,,
NDM014391,97,3,S2SE,149
NDM014391,97,11,"SWNE,N2NW,SENW,NESW,SE",149
NDM014391,97,12,"NENW,S2NW,N2SW",149
NDM014391,97,13,"NE,E2NW",149
NDM014391,,,,
NDM098777,96,16,SE,154
NDM098777,,,,
NDM102159,94,6,SWSE,147
NDM102159,94,6,SWSE,147
NDM102159,94,6,POR OF LOT 3 (37.14 AC),147
NDM102159,94,6,POR OF LOT 3 (37.14 AC),147
NDM102159,94,6,"1,2",147
NDM102159,,,,
NDM102158,93,33,NWSW,153
NDM102158,,,,
NDM083762,105,10,"NWSW,SESW,SWSE",130
NDM083762,,,,
NDM083763,105,30,NENW,131
NDM083763,,,,
NDM097716,91,4,"SWNE,NWSW",154
NDM097716,91,4,4,154
NDM097716,,,,
NDM097714,89,35,SW,157
NDM097714,,,,
NDM097715,90,4,NESW,142
NDM097715,,,,
NDM102212,105,12,SWSW,142
NDM102212,,,,
NDM102213,105,20,NE,142
NDM102213,105,28,SW,142
NDM102213,,,,
NDM097718,95,31,E2E2,146
NDM097718,,,,
NDM102211,103,26,E2SE,157
NDM102211,,,,
NDM091562,104,20,ALL,147
NDM091562,,,,
NDM091561,104,18,"E2,E2W2",147
NDM091561,104,18,"1,2,3,4",147
NDM091561,,,,
NDM102155,93,36,SW,152
NDM102155,,,,
NDM102154,93,27,SWNE,152
NDM102154,93,27,"1,3,4",152
NDM102154,93,34,"N2NW,W2SWNW",152
NDM102154,93,34,TR M1169 (0.46 AC) DESC,152
NDM102154,93,34,BY M&B,152
NDM102154,,,,
NDM010702,100,9,SW,155
NDM010702,100,9,SW,155
NDM010702,100,28,"SWNW,SW",155
NDM010702,100,29,SWSE,155
NDM010702,100,29,SWSE,155
NDM010702,100,29,SESW EXCL 3.22 AC,155
NDM010702,100,29,SESW EXCL 3.22 AC,155
NDM010702,100,32,"NWNE,E2NENW",155
NDM010702,100,32,"NWNE,E2NENW",155
NDM010702,,,,
NDM102150,92,16,BED OF LAKE RIPAR TO,157
NDM102150,92,16,LOTS 1-6 DESC BY M&B,157
NDM102150,,,,
NDBLMA0023105,101,9,"NE,N2SE,SESE",139
NDBLMA0023105,101,10,"E2NW,NE,SW,E2SE EXCL",139
NDBLMA0023105,101,10,55.29 AC SEC 9 & 10,139
NDBLMA0023105,,,,
NDBLMA0023104,101,2,"S2NE,SE,S2SW",139
NDBLMA0023104,101,11,ALL EXCL 85.65A IN SEC,139
NDBLMA0023104,101,11,2 & 11,139
NDBLMA0023104,,,,
NDBLMA0023108,101,1,S2N2,139
NDBLMA0023108,101,1,S2 LESS 43 AC IN RR R/W,139
NDBLMA0023108,101,1,4,139
NDBLMA0023108,,,,
NDM096531,98,3,"S2N2,S2",145
NDM096531,98,3,"1,2,3,4",145
NDM096531,98,4,S2,145
NDM096531,98,9,ALL,145
NDM096531,98,10,N2,145
NDM096531,98,11,ALL,145
NDM096531,,,,
NDM096530,96,1,S2,148
NDM096530,96,12,"N2,NWSE",148
NDM096530,,,,
NDM096533,98,3,BED LTL MO RVR RIPAR,147
NDM096533,98,3,"TO LOTS 1,2 DESC BY",147
NDM096533,98,3,M&B (10.3 AC),147
NDM096533,98,10,BED LTL MO RVR RIPAR,147
NDM096533,98,10,"TO LOTS 1,2 DESC BY",147
NDM096533,98,10,M&B (4.871 AC),147
NDM096533,,,,
NDM096532,98,6,"SENW,E2SW",145
NDM096532,98,6,7-Mar,145
NDM096532,98,8,N2,145
NDM096532,98,27,"NW,SE",145
NDM096532,98,30,"E2,E2W2",145
NDM096532,98,30,"1,2,3,4",145
NDM096532,,,,
NDM096535,99,26,"W2E2,W2",145
NDM096535,,,,
NDM096534,99,19,"E2,E2W2",144
NDM096534,99,19,"1,2,3,4",144
NDM096534,99,20,ALL,144
NDM096534,,,,
NDM096537,99,18,"1,4",146
NDM096537,,,,
NDM096536,99,28,S2,145
NDM096536,99,32,"NW,S2",145
NDM096536,99,34,"NWNE,S2NE,SE",145
NDM096536,,,,
NDM082589,105,6,8,130
NDM082589,105,18,E2SW,130
NDM082589,,,,
NDM096538,99,17,"NWSW,S2S2",152
NDM096538,99,20,"NE,N2NW",152
NDM096538,,,,
NDM083690,79,12,SWSW,161
NDM083690,79,12,SWSW,161
NDM083690,,,,
NDM035148,104,7,"S2NE,E2NW,SE",148
NDM035148,104,7,2-Jan,148
NDM035148,104,8,W2SW,148
NDM035148,104,18,"E2SW,SE",148
NDM035148,104,18,4-Mar,148
NDM035148,104,30,"W2E2,E2W2",148
NDM035148,104,30,4-Jan,148
NDM035148,,,,
NDM0067186,102,10,"LOTS 2,3,6,7 RIPARIAN",139
NDM0067186,102,10,TO BED OF RIVR,139
NDM0067186,102,22,"LOTS 1,2,5 RIPARIAN",139
NDM0067186,102,22,TO BED OF RIVR,139
NDM0067186,,,,
NDM098757,91,1,SWNWSWNW,151
NDM098757,91,3,"S2N2,S2",151
NDM098757,91,3,"1,2,3,4",151
NDM098757,91,4,S2N2,151
NDM098757,91,4,"1,2,3,4",151
NDM098757,91,10,N2NE,151
NDM098757,91,10,POR OF SESE 2.00 AC,151
NDM098757,91,11,N2NWNWNW,151
NDM098757,,,,
NDM098756,84,5,SE,163
NDM098756,84,9,SW,163
NDM098756,,,,
NDM074570,104,21,S2SE,130
NDM074570,,,,
NDM078898,104,26,"SWNW,W2SW",146
NDM078898,,,,
NDM097734,103,12,"NE,E2NW,S2",139
NDM097734,,,,
NDM097038,100,33,S2SE,162
NDM097038,100,34,"S2SW,SE",162
NDM097038,,,,
NDM032739,104,2,"NESW,NWSE",149
NDM032739,104,4,"S2NE,SENW,S2SW",149
NDM032739,104,4,"1,2,3,4",149
NDM032739,104,7,4,149
NDM032739,104,8,"NE,NENW,NESE",149
NDM032739,104,9,"W2NE,NW,S2",149
NDM032739,104,11,"SENE,SENW",149
NDM032739,104,12,"NWSW,NESE",149
NDM032739,104,13,"S2NW,SW",149
NDM032739,,,,
NDM019152,101,10,ALL,141
NDM019152,101,12,"W2NW,S2SW",141
NDM019152,,,,
NDM032328,101,33,E2SE,144
NDM032328,,,,
NDM094704,102,17,"E2,E2NW,N2SW",148
NDM094704,102,18,"NWNE,E2W2,SE",148
NDM094704,102,18,"2,3,4",148
NDM094704,,,,
NDM017667,97,30,2-Jan,147
NDM017667,97,32,"NENW,NESE",147
NDM017667,,,,
NDM094706,102,20,W2,148
NDM094706,,,,
NDM094707,102,21,W2,148
NDM094707,102,28,ALL,148
NDM094707,,,,
NDM094700,101,31,"SENW,E2SW,SE",147
NDM094700,101,31,"2,4-8",147
NDM094700,,,,
NDM094701,101,34,E2,147
NDM094701,,,,
NDM094702,102,8,"2,3,6",144
NDM094702,102,21,S2SW,144
NDM094702,102,21,8,144
NDM094702,,,,
NDM094703,102,21,"2,3,7",144
NDM094703,,,,
NDM093558,104,1,"NESW,E2SE",149
NDM093558,104,1,"1,2",149
NDM093558,,,,
NDM094708,102,22,ALL,148
NDM094708,102,24,ALL,148
NDM094708,,,,
NDM094709,102,25,ALL,148
NDM094709,102,26,ALL,148
NDM094709,,,,
NDM093559,104,1,"S2N2,SESW,W2SE",149
NDM093559,104,1,"3,4",149
NDM093559,104,12,NENE,149
NDM093559,,,,
NDM081793,104,11,"NW,S2",145
NDM081793,104,12,W2,145
NDM081793,,,,
NDM0069807,79,6,"4,5,6",163
NDM0069807,80,1,"SENE,NESE",163
NDM0069807,80,1,1,163
NDM0069807,,,,
NDM093554,103,33,E2SE,140
NDM093554,,,,
NDM093555,103,13,"NWNE,W2,W2SE",150
NDM093555,103,14,SE,150
NDM093555,103,22,"NE,N2NW,N2S2",150
NDM093555,103,22,8-Jan,150
NDM093555,103,24,"NENE,S2NE,NW,N2S2",150
NDM093555,103,24,8-Jan,150
NDM093555,103,25,W2,150
NDM093555,103,26,S2,150
NDM093555,,,,
NDM093556,103,19,"NESW,N2SE",150
NDM093556,103,28,S2,150
NDM093556,,,,
NDM093557,103,34,ALL,150
NDM093557,,,,
NDM089687,102,18,"5,11",138
NDM089687,102,30,"4,5,8,10",138
NDM089687,,,,
NDM089686,102,12,N2,138
NDM089686,,,,
NDM089685,102,4,S2NW,138
NDM089685,102,4,"3,4",138
NDM089685,,,,
NDM089684,102,4,SWNE,138
NDM089684,102,4,2,138
NDM089684,,,,
NDM093550,101,5,"3,4",138
NDM093550,101,7,E2NW,138
NDM093550,101,7,"1,2",138
NDM093550,101,18,E2NW,138
NDM093550,101,18,1,138
NDM093550,,,,
NDM066457,106,19,SE,130
NDM066457,,,,
NDM089688,102,18,E2E2,138
NDM089688,,,,
NDM082368,106,13,NESE,131
NDM082368,106,23,NENW,131
NDM082368,106,24,SWNE,131
NDM082368,106,25,"NWSW,S2SW",131
NDM082368,106,26,"NESW,S2S2,NWSE",131
NDM082368,,,,
NDM094272,103,27,ALL,150
NDM094272,,,,
NDM032649,101,34,NW,145
NDM032649,,,,
NDM094273,103,35,ALL,150
NDM094273,,,,
NDM011935,101,5,S2NE,143
NDM011935,101,5,"1,2",143
NDM011935,,,,
NDM088538,100,31,"E2SW,SE",139
NDM088538,100,31,"3,4",139
NDM088538,100,33,ALL,139
NDM088538,100,34,"N2,SW",139
NDM088538,,,,
NDM088539,100,6,"SENW,E2SW,SE",144
NDM088539,100,6,7-Mar,144
NDM088539,,,,
NDM090371,104,11,E2NE,147
NDM090371,104,24,E2SE,147
NDM090371,,,,
NDM090370,104,10,E2,147
NDM090370,104,11,"S2NW,SE",147
NDM090370,,,,
NDM090373,104,12,"SW,N2SE,SWSE",147
NDM090373,,,,
NDM090372,104,12,S2N2,147
NDM090372,,,,
NDM085009,103,9,S2,143
NDM085009,103,11,"N2,SE",143
NDM085009,,,,
NDM098568,101,10,"E2NW,SW",143
NDM098568,101,21,NE,143
NDM098568,101,22,SE,143
NDM098568,101,23,"NW,E2SW,SE",143
NDM098568,101,26,W2,143
NDM098568,,,,
NDM098569,102,29,POR LYING WITHIN,153
NDM098569,102,29,FU 208-B DESC BY M&B,153
NDM098569,,,,
NDM098564,99,6,ACCRETED LANDS TO LOTS,152
NDM098564,99,6,"1,2,3 DES BY M&B",152
NDM098564,,,,
NDM098565,100,4,"S2N2,S2",141
NDM098565,100,4,"1,2,3,4",141
NDM098565,100,8,ALL,141
NDM098565,100,10,"NE,N2NW,SWNW,N2SW,SESW",141
NDM098565,100,24,"E2NE,SE",141
NDM098565,,,,
NDM098566,100,10,SENW,141
NDM098566,,,,
NDM085002,101,14,SE,145
NDM085002,,,,
NDM085005,101,12,"NE,S2",145
NDM085005,,,,
NDM098561,97,6,SWSE,148
NDM098561,,,,
NDM098563,99,6,"1,2,3",152
NDM098563,,,,
NDM032464,98,13,SE,147
NDM032464,,,,
NDM032466,98,25,ALL,147
NDM032466,,,,
NDM032460,98,24,NE,147
NDM032460,,,,
NDM098362,101,14,"NE,N2NW,SENW,S2",146
NDM098362,,,,
NDM098363,104,3,3,152
NDM098363,104,24,"S2SW,SWSE",153
NDM098363,104,25,"NWNW,E2SE",153
NDM098363,104,34,SESE,153
NDM098363,104,35,SENW,153
NDM098363,,,,
NDM086266,103,33,ALL,138
NDM086266,,,,
NDM098361,101,9,NENE,143
NDM098361,,,,
NDM098366,105,20,NE,133
NDM098366,105,26,"SW,E2SE",133
NDM098366,105,28,"SWSW,NESE,S2SE",133
NDM098366,,,,
NDM086261,103,24,SW,138
NDM086261,,,,
NDM098364,105,1,"S2N2,S2",133
NDM098364,105,1,"1,2,3,4",133
NDM098364,105,2,"S2N2,S2",133
NDM098364,105,2,"1,2,3,4",133
NDM098364,105,11,ALL,133
NDM098364,105,13,NE,133
NDM098364,105,14,"NE,N2S2",133
NDM098364,,,,
NDM098365,105,3,"S2N2,S2",133
NDM098365,105,3,"1,2,3,4",133
NDM098365,105,4,"S2N2,S2",133
NDM098365,105,4,"1,2,3,4",133
NDM098365,105,10,"N2NE,W2NW,SW",133
NDM098365,,,,
NDM086462,96,2,POR S2 UNDERLYING RR ROW,139
NDM086462,,,,
NDM090116,104,4,"S2NE,E2SW",148
NDM090116,104,4,"1,2",148
NDM090116,104,9,"E2,N2NW",148
NDM090116,,,,
NDM090111,100,12,SWSW,140
NDM090111,,,,
NDM090110,100,10,"N2NE,SWNE,W2",138
NDM090110,100,10,SENE EXCLUDING 2.54 IN,138
NDM090110,100,10,SCHOOL SITE,138
NDM090110,100,15,ALL,138
NDM090110,100,21,E2,138
NDM090110,100,23,NE,138
NDM090110,100,34,SW,138
NDM090110,,,,
NDM090113,104,3,S2S2,147
